Number of tests,09/21/2020,"5,973"
Number of tests,09/22/2020,"5,286"
Number of tests,09/23/2020,"5,227"
Number of tests,09/24/2020,"5,884"
Number of tests,09/25/2020,"5,772"
Number of tests,09/26/2020,"2,677"
Number of tests,09/27/2020,"3,107"
Number of student tests,09/21/2020,"4,873"
Number of student tests,09/22/2020,"4,169"
Number of student tests,09/23/2020,"3,907"
Number of student tests,09/24/2020,"4,741"
Number of student tests,09/25/2020,"4,545"
Number of student tests,09/26/2020,"2,572"
Number of student tests,09/27/2020,"3,025"
Number of employee tests,09/21/2020,"1,100"
Number of employee tests,09/22/2020,"1,117"
Number of employee tests,09/23/2020,"1,320"
Number of employee tests,09/24/2020,"1,143"
Number of employee tests,09/25/2020,"1,227"
Number of employee tests,09/26/2020,105
Number of employee tests,09/27/2020,82
"New Confirmed Positive, Total",09/21/2020,2
"New Confirmed Positive, Total",09/22/2020,1
"New Confirmed Positive, Total",09/23/2020,1
"New Confirmed Positive, Total",09/24/2020,0
"New Confirmed Positive, Total",09/25/2020,1
"New Confirmed Positive, Total",09/26/2020,1
"New Confirmed Positive, Total",09/27/2020,0
Number of tests,Total,"33,926"
Number of student tests,Total,"27,832"
Number of employee tests,Total,"6,094"
"New Confirmed Positive, Total",Total,6
