Number of tests,03/08/2021,"6,867"
Number of tests,03/09/2021,"6,058"
Number of tests,03/10/2021,"5,600"
Number of tests,03/11/2021,"6,779"
Number of tests,03/12/2021,"6,387"
Number of tests,03/13/2021,"4,203"
Number of tests,03/14/2021,"3,254"
Number of student tests,03/08/2021,"5,158"
Number of student tests,03/09/2021,"4,794"
Number of student tests,03/10/2021,"4,249"
Number of student tests,03/11/2021,"4,954"
Number of student tests,03/12/2021,"5,055"
Number of student tests,03/13/2021,"3,981"
Number of student tests,03/14/2021,"3,134"
Number of employee tests,03/08/2021,"1,709"
Number of employee tests,03/09/2021,"1,264"
Number of employee tests,03/10/2021,"1,351"
Number of employee tests,03/11/2021,"1,825"
Number of employee tests,03/12/2021,"1,332"
Number of employee tests,03/13/2021,222
Number of employee tests,03/14/2021,120
"New Confirmed Positive, Total",03/08/2021,6
"New Confirmed Positive, Total",03/09/2021,9
"New Confirmed Positive, Total",03/10/2021,8
"New Confirmed Positive, Total",03/11/2021,11
"New Confirmed Positive, Total",03/12/2021,9
"New Confirmed Positive, Total",03/13/2021,3
"New Confirmed Positive, Total",03/14/2021,6
Number of tests,Total,"39,148"
Number of student tests,Total,"31,325"
Number of employee tests,Total,"7,823"
New confirmed positives,Total,52
