Number of tests,04/20/2021,"5,381"
Number of tests,04/21/2021,"4,809"
Number of tests,04/22/2021,"5,416"
Number of tests,04/23/2021,"4,970"
Number of tests,04/24/2021,"3,281"
Number of tests,04/25/2021,"3,406"
Number of tests,04/26/2021,"5,075"
Number of student tests,04/20/2021,"4,520"
Number of student tests,04/21/2021,"3,860"
Number of student tests,04/22/2021,"4,251"
Number of student tests,04/23/2021,"4,119"
Number of student tests,04/24/2021,"3,145"
Number of student tests,04/25/2021,"3,336"
Number of student tests,04/26/2021,"4,010"
Number of employee tests,04/20/2021,861
Number of employee tests,04/21/2021,949
Number of employee tests,04/22/2021,"1,165"
Number of employee tests,04/23/2021,851
Number of employee tests,04/24/2021,136
Number of employee tests,04/25/2021,70
Number of employee tests,04/26/2021,"1,065"
"New Confirmed Positive, Total",04/20/2021,0
"New Confirmed Positive, Total",04/21/2021,0
"New Confirmed Positive, Total",04/22/2021,2
"New Confirmed Positive, Total",04/23/2021,1
"New Confirmed Positive, Total",04/24/2021,0
"New Confirmed Positive, Total",04/25/2021,0
"New Confirmed Positive, Total",04/26/2021,0
Number of tests,Total,"32,338"
Number of student tests,Total,"27,241"
Number of employee tests,Total,"5,097"
New confirmed positives,Total,3
