Number of tests,05/13/2021,"4,097"
Number of tests,05/14/2021,"3,783"
Number of tests,05/15/2021,"2,873"
Number of tests,05/16/2021,"3,635"
Number of tests,05/17/2021,"4,042"
Number of tests,05/18/2021,"3,382"
Number of tests,05/19/2021,"3,033"
Number of student tests,05/13/2021,"3,399"
Number of student tests,05/14/2021,"3,279"
Number of student tests,05/15/2021,"2,794"
Number of student tests,05/16/2021,"3,593"
Number of student tests,05/17/2021,"3,302"
Number of student tests,05/18/2021,"2,924"
Number of student tests,05/19/2021,"2,587"
Number of employee tests,05/13/2021,698
Number of employee tests,05/14/2021,504
Number of employee tests,05/15/2021,79
Number of employee tests,05/16/2021,42
Number of employee tests,05/17/2021,740
Number of employee tests,05/18/2021,458
Number of employee tests,05/19/2021,446
"New Confirmed Positive, Total",05/13/2021,0
"New Confirmed Positive, Total",05/14/2021,1
"New Confirmed Positive, Total",05/15/2021,1
"New Confirmed Positive, Total",05/16/2021,1
"New Confirmed Positive, Total",05/17/2021,0
"New Confirmed Positive, Total",05/18/2021,0
"New Confirmed Positive, Total",05/19/2021,1
Number of tests,Total,"24,845"
Number of student tests,Total,"21,878"
Number of employee tests,Total,"2,967"
New confirmed positives,Total,4
