Number of tests,14-Sep,"5,987"
Number of tests,15-Sep,"5,231"
Number of tests,16-Sep,"4,981"
Number of tests,17-Sep,"5,531"
Number of tests,18-Sep,"5,501"
Number of tests,19-Sep,"2,717"
Number of tests,20-Sep,"2,816"
Number of student tests,14-Sep,"4,915"
Number of student tests,15-Sep,"4,229"
Number of student tests,16-Sep,"3,744"
Number of student tests,17-Sep,"4,567"
Number of student tests,18-Sep,"4,374"
Number of student tests,19-Sep,"2,624"
Number of student tests,20-Sep,"2,746"
Number of employee tests,14-Sep,"1,072"
Number of employee tests,15-Sep,"1,002"
Number of employee tests,16-Sep,"1,237"
Number of employee tests,17-Sep,964
Number of employee tests,18-Sep,"1,127"
Number of employee tests,19-Sep,93
Number of employee tests,20-Sep,70
"New Confirmed Positive, Total",14-Sep,0
"New Confirmed Positive, Total",15-Sep,0
"New Confirmed Positive, Total",16-Sep,1
"New Confirmed Positive, Total",17-Sep,0
"New Confirmed Positive, Total",18-Sep,1
"New Confirmed Positive, Total",19-Sep,0
"New Confirmed Positive, Total",20-Sep,1
Number of tests,Total,"32,764"
Number of student tests,Total,"27,199"
Number of employee tests,Total,"5,565"
"New Confirmed Positive, Total",Total,3
