Number of tests,09/14/2020,"5,987"
Number of tests,09/15/2020,"5,231"
Number of tests,09/16/2020,"4,981"
Number of tests,09/17/2020,"5,531"
Number of tests,09/18/2020,"5,501"
Number of tests,09/19/2020,"2,717"
Number of tests,09/20/2020,"2,816"
Number of student tests,09/14/2020,"4,915"
Number of student tests,09/15/2020,"4,229"
Number of student tests,09/16/2020,"3,744"
Number of student tests,09/17/2020,"4,567"
Number of student tests,09/18/2020,"4,374"
Number of student tests,09/19/2020,"2,624"
Number of student tests,09/20/2020,"2,746"
Number of employee tests,09/14/2020,"1,072"
Number of employee tests,09/15/2020,"1,002"
Number of employee tests,09/16/2020,"1,237"
Number of employee tests,09/17/2020,964
Number of employee tests,09/18/2020,"1,127"
Number of employee tests,09/19/2020,93
Number of employee tests,09/20/2020,70
"New Confirmed Positive, Total",09/14/2020,0
"New Confirmed Positive, Total",09/15/2020,0
"New Confirmed Positive, Total",09/16/2020,1
"New Confirmed Positive, Total",09/17/2020,0
"New Confirmed Positive, Total",09/18/2020,1
"New Confirmed Positive, Total",09/19/2020,0
"New Confirmed Positive, Total",09/20/2020,1
Number of tests,Total,"32,764"
Number of student tests,Total,"27,199"
Number of employee tests,Total,"5,565"
"New Confirmed Positive, Total",Total,3
