Number of tests,05/26/2021,"1,574"
Number of tests,05/27/2021,"1,803"
Number of tests,05/28/2021,"1,389"
Number of tests,05/29/2021,316
Number of tests,05/30/2021,443
Number of tests,05/31/2021,9
Number of tests,06/01/2021,"1,052"
Number of student tests,05/26/2021,"1,007"
Number of student tests,05/27/2021,"1,047"
Number of student tests,05/28/2021,840
Number of student tests,05/29/2021,218
Number of student tests,05/30/2021,347
Number of student tests,05/31/2021,
Number of student tests,06/01/2021,645
Number of employee tests,05/26/2021,567
Number of employee tests,05/27/2021,756
Number of employee tests,05/28/2021,549
Number of employee tests,05/29/2021,98
Number of employee tests,05/30/2021,96
Number of employee tests,05/31/2021,9
Number of employee tests,06/01/2021,407
"New Confirmed Positive, Total",05/26/2021,2
"New Confirmed Positive, Total",05/27/2021,0
"New Confirmed Positive, Total",05/28/2021,1
"New Confirmed Positive, Total",05/29/2021,0
"New Confirmed Positive, Total",05/30/2021,0
"New Confirmed Positive, Total",05/31/2021,0
"New Confirmed Positive, Total",06/01/2021,0
Number of tests,Total,"6,586"
Number of student tests,Total,"4,104"
Number of employee tests,Total,"2,482"
New confirmed positives,Total,3
