Number of tests,8-Sep,"4,748"
Number of tests,9-Sep,"3,876"
Number of tests,10-Sep,"5,145"
Number of tests,11-Sep,"5,136"
Number of tests,12-Sep,"2,793"
Number of tests,13-Sep,"2,924"
Number of tests,14-Sep,"5,987"
Number of student tests,8-Sep,"4,223"
Number of student tests,9-Sep,"3,778"
Number of student tests,10-Sep,"4,663"
Number of student tests,11-Sep,"4,281"
Number of student tests,12-Sep,"2,715"
Number of student tests,13-Sep,"2,881"
Number of student tests,14-Sep,"4,915"
Number of employee tests,8-Sep,525
Number of employee tests,9-Sep,98
Number of employee tests,10-Sep,482
Number of employee tests,11-Sep,855
Number of employee tests,12-Sep,78
Number of employee tests,13-Sep,43
Number of employee tests,14-Sep,"1,072"
"New Confirmed Positive, Total",8-Sep,3
"New Confirmed Positive, Total",9-Sep,13
"New Confirmed Positive, Total",10-Sep,6
"New Confirmed Positive, Total",11-Sep,4
"New Confirmed Positive, Total",12-Sep,3
"New Confirmed Positive, Total",13-Sep,0
"New Confirmed Positive, Total",14-Sep,0
Number of tests,Total,"30,608"
Number of student tests,Total,"27,455"
Number of employee tests,Total,"3,153"
"New Confirmed Positive, Total",Total,29
