Number of tests,01/22/2021,"2,489"
Number of tests,01/23/2021,"1,602"
Number of tests,01/24/2021,"1,567"
Number of tests,01/25/2021,"3,645"
Number of tests,01/26/2021,"3,302"
Number of tests,01/27/2021,"3,666"
Number of tests,01/28/2021,"3,609"
Number of student tests,01/22/2021,"1,240"
Number of student tests,01/23/2021,"1,402"
Number of student tests,01/24/2021,"1,459"
Number of student tests,01/25/2021,"2,080"
Number of student tests,01/26/2021,"2,073"
Number of student tests,01/27/2021,"2,257"
Number of student tests,01/28/2021,"1,999"
Number of employee tests,01/22/2021,"1,249"
Number of employee tests,01/23/2021,200
Number of employee tests,01/24/2021,108
Number of employee tests,01/25/2021,"1,565"
Number of employee tests,01/26/2021,"1,229"
Number of employee tests,01/27/2021,"1,409"
Number of employee tests,01/28/2021,"1,610"
"New Confirmed Positive, Total",01/22/2021,8
"New Confirmed Positive, Total",01/23/2021,7
"New Confirmed Positive, Total",01/24/2021,7
"New Confirmed Positive, Total",01/25/2021,8
"New Confirmed Positive, Total",01/26/2021,8
"New Confirmed Positive, Total",01/27/2021,5
"New Confirmed Positive, Total",01/28/2021,15
Number of tests,Total,"19,880"
Number of student tests,Total,"12,510"
Number of employee tests,Total,"7,370"
New confirmed positives,Total,58
