Number of tests,03/19/2021,"6,904"
Number of tests,03/20/2021,"4,496"
Number of tests,03/21/2021,"3,462"
Number of tests,03/22/2021,"7,197"
Number of tests,03/23/2021,"6,386"
Number of tests,03/24/2021,"6,005"
Number of tests,03/25/2021,"6,741"
Number of student tests,03/19/2021,"5,551"
Number of student tests,03/20/2021,"4,261"
Number of student tests,03/21/2021,"3,354"
Number of student tests,03/22/2021,"5,452"
Number of student tests,03/23/2021,"5,130"
Number of student tests,03/24/2021,"4,634"
Number of student tests,03/25/2021,"4,912"
Number of employee tests,03/19/2021,"1,353"
Number of employee tests,03/20/2021,235
Number of employee tests,03/21/2021,108
Number of employee tests,03/22/2021,"1,745"
Number of employee tests,03/23/2021,"1,256"
Number of employee tests,03/24/2021,"1,371"
Number of employee tests,03/25/2021,"1,829"
"New Confirmed Positive, Total",03/19/2021,10
"New Confirmed Positive, Total",03/20/2021,6
"New Confirmed Positive, Total",03/21/2021,4
"New Confirmed Positive, Total",03/22/2021,7
"New Confirmed Positive, Total",03/23/2021,12
"New Confirmed Positive, Total",03/24/2021,23
"New Confirmed Positive, Total",03/25/2021,30
Number of tests,Total,"41,191"
Number of student tests,Total,"33,294"
Number of employee tests,Total,"7,897"
New confirmed positives,Total,92
