Number of tests,1-Dec,"3,095"
Number of tests,2-Dec,"2,668"
Number of tests,3-Dec,"3,174"
Number of tests,4-Dec,"3,682"
Number of tests,5-Dec,149
Number of tests,6-Dec,24
Number of tests,7-Dec,"3,945"
Number of student tests,1-Dec,"1,819"
Number of student tests,2-Dec,"1,277"
Number of student tests,3-Dec,"1,958"
Number of student tests,4-Dec,"2,240"
Number of student tests,5-Dec,101
Number of student tests,6-Dec,6
Number of student tests,7-Dec,"2,657"
Number of employee tests,1-Dec,"1,276"
Number of employee tests,2-Dec,"1,391"
Number of employee tests,3-Dec,"1,216"
Number of employee tests,4-Dec,"1,442"
Number of employee tests,5-Dec,48
Number of employee tests,6-Dec,18
Number of employee tests,7-Dec,"1,288"
"New Confirmed Positive, Total",1-Dec,9
"New Confirmed Positive, Total",2-Dec,3
"New Confirmed Positive, Total",3-Dec,7
"New Confirmed Positive, Total",4-Dec,3
"New Confirmed Positive, Total",5-Dec,3
"New Confirmed Positive, Total",6-Dec,4
"New Confirmed Positive, Total",7-Dec,4
Number of tests,Total,"16,737"
Number of student tests,Total,"10,058"
Number of employee tests,Total,"6,679"
New confirmed positives,Total,33
