Number of tests,03/15/2021,"7,075"
Number of tests,03/16/2021,"6,381"
Number of tests,03/17/2021,"6,048"
Number of tests,03/18/2021,"6,890"
Number of tests,03/19/2021,"6,906"
Number of tests,03/20/2021,"4,495"
Number of tests,03/21/2021,"3,462"
Number of student tests,03/15/2021,"5,327"
Number of student tests,03/16/2021,"5,129"
Number of student tests,03/17/2021,"4,625"
Number of student tests,03/18/2021,"5,119"
Number of student tests,03/19/2021,"5,551"
Number of student tests,03/20/2021,"4,260"
Number of student tests,03/21/2021,"3,354"
Number of employee tests,03/15/2021,"1,748"
Number of employee tests,03/16/2021,"1,252"
Number of employee tests,03/17/2021,"1,423"
Number of employee tests,03/18/2021,"1,771"
Number of employee tests,03/19/2021,"1,355"
Number of employee tests,03/20/2021,235
Number of employee tests,03/21/2021,108
"New Confirmed Positive, Total",03/15/2021,10
"New Confirmed Positive, Total",03/16/2021,10
"New Confirmed Positive, Total",03/17/2021,18
"New Confirmed Positive, Total",03/18/2021,22
"New Confirmed Positive, Total",03/19/2021,10
"New Confirmed Positive, Total",03/20/2021,6
"New Confirmed Positive, Total",03/21/2021,4
Number of tests,Total,"41,257"
Number of student tests,Total,"33,365"
Number of employee tests,Total,"7,892"
New confirmed positives,Total,80
