Number of tests,01/07/2021,"2,077"
Number of tests,01/08/2021,"1,896"
Number of tests,01/09/2021,617
Number of tests,01/10/2021,568
Number of tests,01/11/2021,"2,072"
Number of tests,01/12/2021,"2,077"
Number of tests,01/13/2021,"2,498"
Number of student tests,01/07/2021,913
Number of student tests,01/08/2021,670
Number of student tests,01/09/2021,430
Number of student tests,01/10/2021,476
Number of student tests,01/11/2021,894
Number of student tests,01/12/2021,889
Number of student tests,01/13/2021,"1,091"
Number of employee tests,01/07/2021,"1,164"
Number of employee tests,01/08/2021,"1,226"
Number of employee tests,01/09/2021,187
Number of employee tests,01/10/2021,92
Number of employee tests,01/11/2021,"1,178"
Number of employee tests,01/12/2021,"1,188"
Number of employee tests,01/13/2021,"1,407"
"New Confirmed Positive, Total",01/07/2021,11
"New Confirmed Positive, Total",01/08/2021,1
"New Confirmed Positive, Total",01/09/2021,8
"New Confirmed Positive, Total",01/10/2021,2
"New Confirmed Positive, Total",01/11/2021,2
"New Confirmed Positive, Total",01/12/2021,5
"New Confirmed Positive, Total",01/13/2021,1
Number of tests,Total,"11,805"
Number of student tests,Total,"5,363"
Number of employee tests,Total,"6,442"
New confirmed positives,Total,30
