Number of tests,02/15/2021,"6,748"
Number of tests,02/16/2021,"5,792"
Number of tests,02/17/2021,"5,802"
Number of tests,02/18/2021,"6,226"
Number of tests,02/19/2021,"6,061"
Number of tests,02/20/2021,"4,140"
Number of tests,02/21/2021,"3,389"
Number of student tests,02/15/2021,"5,034"
Number of student tests,02/16/2021,"4,679"
Number of student tests,02/17/2021,"4,365"
Number of student tests,02/18/2021,"4,428"
Number of student tests,02/19/2021,"4,779"
Number of student tests,02/20/2021,"3,952"
Number of student tests,02/21/2021,"3,279"
Number of employee tests,02/15/2021,"1,714"
Number of employee tests,02/16/2021,"1,113"
Number of employee tests,02/17/2021,"1,437"
Number of employee tests,02/18/2021,"1,798"
Number of employee tests,02/19/2021,"1,282"
Number of employee tests,02/20/2021,188
Number of employee tests,02/21/2021,110
"New Confirmed Positive, Total",02/15/2021,2
"New Confirmed Positive, Total",02/16/2021,1
"New Confirmed Positive, Total",02/17/2021,1
"New Confirmed Positive, Total",02/18/2021,2
"New Confirmed Positive, Total",02/19/2021,5
"New Confirmed Positive, Total",02/20/2021,1
"New Confirmed Positive, Total",02/21/2021,5
Number of tests,Total,"38,158"
Number of student tests,Total,"30,516"
Number of employee tests,Total,"7,642"
New confirmed positives,Total,17
