Number of tests,05/19/2021,"2,707"
Number of tests,05/20/2021,"2,924"
Number of tests,05/21/2021,"2,922"
Number of tests,05/22/2021,"2,268"
Number of tests,05/23/2021,"2,554"
Number of tests,05/24/2021,"2,795"
Number of tests,05/25/2021,"1,914"
Number of student tests,05/19/2021,"2,077"
Number of student tests,05/20/2021,"2,113"
Number of student tests,05/21/2021,"2,264"
Number of student tests,05/22/2021,"1,988"
Number of student tests,05/23/2021,"2,171"
Number of student tests,05/24/2021,"1,867"
Number of student tests,05/25/2021,"1,282"
Number of employee tests,05/19/2021,630
Number of employee tests,05/20/2021,811
Number of employee tests,05/21/2021,658
Number of employee tests,05/22/2021,280
Number of employee tests,05/23/2021,383
Number of employee tests,05/24/2021,928
Number of employee tests,05/25/2021,632
"New Confirmed Positive, Total",05/19/2021,1
"New Confirmed Positive, Total",05/20/2021,0
"New Confirmed Positive, Total",05/21/2021,1
"New Confirmed Positive, Total",05/22/2021,0
"New Confirmed Positive, Total",05/23/2021,2
"New Confirmed Positive, Total",05/24/2021,0
"New Confirmed Positive, Total",05/25/2021,0
Number of tests,Total,"18,084"
Number of student tests,Total,"13,762"
Number of employee tests,Total,"4,322"
New confirmed positives,Total,4
