Number of tests,4-Sep,"4,954"
Number of tests,5-Sep,"2,840"
Number of tests,6-Sep,"2,893"
Number of tests,7-Sep,"5,081"
Number of tests,8-Sep,"4,748"
Number of tests,9-Sep,"3,876"
Number of tests,10-Sep,"5,145"
Number of student tests,4-Sep,"4,094"
Number of student tests,5-Sep,"2,772"
Number of student tests,6-Sep,"2,855"
Number of student tests,7-Sep,"4,409"
Number of student tests,8-Sep,"4,223"
Number of student tests,9-Sep,"3,778"
Number of student tests,10-Sep,"4,663"
Number of employee tests,4-Sep,860
Number of employee tests,5-Sep,68
Number of employee tests,6-Sep,38
Number of employee tests,7-Sep,672
Number of employee tests,8-Sep,525
Number of employee tests,9-Sep,98
Number of employee tests,10-Sep,482
"New Confirmed Positive, Total",4-Sep,14
"New Confirmed Positive, Total",5-Sep,6
"New Confirmed Positive, Total",6-Sep,5
"New Confirmed Positive, Total",7-Sep,6
"New Confirmed Positive, Total",8-Sep,3
"New Confirmed Positive, Total",9-Sep,13
"New Confirmed Positive, Total",10-Sep,6
Number of tests,Total,"29,537"
Number of student tests,Total,"26,794"
Number of employee tests,Total,"2,743"
"New Confirmed Positive, Total",Total,53
