Number of tests,02/05/2021,"5,651"
Number of tests,02/06/2021,"3,574"
Number of tests,02/07/2021,"3,742"
Number of tests,02/08/2021,"6,238"
Number of tests,02/09/2021,"6,084"
Number of tests,02/10/2021,"5,406"
Number of tests,02/11/2021,"5,346"
Number of student tests,02/05/2021,"4,271"
Number of student tests,02/06/2021,"3,392"
Number of student tests,02/07/2021,"3,624"
Number of student tests,02/08/2021,"4,495"
Number of student tests,02/09/2021,"4,824"
Number of student tests,02/10/2021,"4,091"
Number of student tests,02/11/2021,"3,508"
Number of employee tests,02/05/2021,"1,380"
Number of employee tests,02/06/2021,182
Number of employee tests,02/07/2021,118
Number of employee tests,02/08/2021,"1,743"
Number of employee tests,02/09/2021,"1,260"
Number of employee tests,02/10/2021,"1,315"
Number of employee tests,02/11/2021,"1,838"
"New Confirmed Positive, Total",02/05/2021,17
"New Confirmed Positive, Total",02/06/2021,16
"New Confirmed Positive, Total",02/07/2021,17
"New Confirmed Positive, Total",02/08/2021,3
"New Confirmed Positive, Total",02/09/2021,10
"New Confirmed Positive, Total",02/10/2021,4
"New Confirmed Positive, Total",02/11/2021,14
Number of tests,Total,"36,041"
Number of student tests,Total,"28,205"
Number of employee tests,Total,"7,836"
New confirmed positives,Total,81
