Number of tests,7-Dec,"3,946"
Number of tests,8-Dec,"3,065"
Number of tests,9-Dec,"2,651"
Number of tests,10-Dec,"2,936"
Number of tests,11-Dec,"3,889"
Number of tests,12-Dec,104
Number of tests,13-Dec,24
Number of student tests,7-Dec,"2,657"
Number of student tests,8-Dec,"1,795"
Number of student tests,9-Dec,"1,282"
Number of student tests,10-Dec,"1,710"
Number of student tests,11-Dec,"2,455"
Number of student tests,12-Dec,58
Number of student tests,13-Dec,4
Number of employee tests,7-Dec,"1,289"
Number of employee tests,8-Dec,"1,270"
Number of employee tests,9-Dec,"1,369"
Number of employee tests,10-Dec,"1,226"
Number of employee tests,11-Dec,"1,434"
Number of employee tests,12-Dec,46
Number of employee tests,13-Dec,20
"New Confirmed Positive, Total",7-Dec,4
"New Confirmed Positive, Total",8-Dec,8
"New Confirmed Positive, Total",9-Dec,2
"New Confirmed Positive, Total",10-Dec,2
"New Confirmed Positive, Total",11-Dec,8
"New Confirmed Positive, Total",12-Dec,6
"New Confirmed Positive, Total",13-Dec,3
Number of tests,Total,"16,615"
Number of student tests,Total,"9,961"
Number of employee tests,Total,"6,654"
New confirmed positives,Total,33
